Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2023-11-16,12:03,Johor Bahru,46,TRAIN82,3.906934918862262,106.06846408256278,11,3,63,18-24,Male,Driver was friendly
2023-07-14,05:07,Cameron Highlands,17,TRAIN65,4.227105724084605,118.4071914385228,3,3,74,25-40,Female,Seats were uncomfortable
2023-09-22,14:11,Ipoh,91,TRAIN38,6.81955563092574,101.27298388347972,27,1,81,40-60,Male,Delay in departure
2022-07-12,09:11,Penang,41,BUS245,3.627520770120191,106.22698964586763,1,7,98,25-40,Female,Driver was friendly
2023-12-09,16:59,Kuching,53,BUS958,1.418952037656395,117.05092494307263,15,9,71,40-60,Male,Service was excellent
2022-12-26,07:59,Kuching,51,TRAIN09,4.860396214038969,102.06618562628869,-6,7,93,25-40,Female,Station was well-maintained
2022-01-10,01:18,Penang,89,BUS415,2.046785886409234,105.47646114677526,31,5,50,18-24,Female,Route was confusing
2023-12-25,21:28,Ipoh,38,BUS907,3.191151881710026,103.49447240425778,-10,0,64,40-60,Male,Poor signage at the station
2022-10-05,00:21,Kuala Lumpur,64,BUS644,4.108452492017307,117.85053208376634,20,0,78,25-40,Female,Driver was friendly
2023-08-23,09:08,Kuching,62,BUS160,6.776653566167182,109.59727437762012,27,5,82,40-60,Female,Train was overcrowded
2022-03-12,18:11,Georgetown,52,TRAIN97,1.9579431493463637,117.12095974309509,18,7,51,40-60,Male,Bus arrived on time
2023-04-18,21:51,Langkawi,41,TRAIN81,6.111233015631941,106.52886949449147,-1,9,81,25-40,Male,Poor signage at the station
2023-08-24,17:55,Ipoh,96,BUS178,1.112700580573844,113.38099541033814,7,3,71,40-60,Female,Route was confusing
2023-02-01,15:03,Johor Bahru,67,BUS552,1.2874350258832754,102.01260415555795,5,2,60,25-40,Male,Seats were uncomfortable
2022-11-11,10:24,Kuala Lumpur,33,TRAIN06,3.8767832022950306,108.60757978425109,29,9,74,25-40,Female,Station was well-maintained
2023-12-07,21:28,Georgetown,78,BUS751,4.434208204225438,105.15661994306136,6,9,65,40-60,Female,Driver was friendly
2023-05-02,21:14,Kota Kinabalu,74,BUS537,2.1340496663594184,105.43440420109295,33,8,50,25-40,Female,Station was well-maintained
2023-07-06,15:01,Ipoh,27,TRAIN69,2.1102503841278963,102.38347060220205,14,7,73,18-24,Male,Cleanliness was lacking
2022-03-29,12:11,Malacca,80,BUS556,5.318321165867612,107.76626476243435,28,2,57,40-60,Male,Service was excellent
2022-06-24,07:11,Georgetown,78,BUS362,2.8505761067557596,103.4515529751294,28,0,88,18-24,Female,Poor signage at the station
2023-08-24,13:34,Port Dickson,85,BUS731,5.261535976975932,113.66420392461326,33,6,77,18-24,Male,Seats were uncomfortable
2023-11-09,01:16,Cameron Highlands,90,TRAIN44,4.10497085331426,110.3476691823743,7,2,69,18-24,Male,Service was excellent
2023-06-22,01:16,Kuala Lumpur,12,BUS984,3.2016299367170467,109.16671964520152,34,8,90,18-24,Male,Route was confusing
2022-03-14,01:33,Port Dickson,84,BUS091,1.2746325210960765,117.4801204120549,10,8,91,18-24,Male,Driver was friendly
2022-04-26,12:38,Kuching,49,BUS458,6.835011210893211,103.70604353037652,-1,5,68,18-24,Male,Service was excellent
2023-12-11,08:08,Johor Bahru,48,TRAIN26,3.280072171005642,113.98411386431506,21,4,72,25-40,Female,Station was well-maintained
2023-03-08,13:42,Port Dickson,64,BUS347,5.737813050190275,103.7032214640426,-3,0,93,25-40,Male,Station was well-maintained
2023-03-25,19:50,Georgetown,10,TRAIN34,3.0201544999479495,112.57079863896566,16,8,64,40-60,Female,Train was overcrowded
2022-04-10,00:23,Kuching,19,TRAIN89,6.38671002837955,100.7814625248838,12,4,87,18-24,Male,Delay in departure
2022-06-27,04:31,Kota Kinabalu,85,TRAIN70,1.4327611150502602,100.68785286431844,22,5,66,25-40,Female,Bus arrived on time
2023-10-22,22:00,Kuala Lumpur,54,BUS224,2.6882863609865115,108.28081653139428,-6,6,82,18-24,Female,Service was excellent
2022-05-28,05:31,Ipoh,62,TRAIN71,4.157222046895174,119.86392960552226,8,6,89,40-60,Female,Cleanliness was lacking
2023-02-28,15:19,Johor Bahru,91,TRAIN56,4.677873330962268,102.94977907977444,9,5,90,25-40,Female,Station was well-maintained
2022-10-16,15:51,Port Dickson,57,BUS677,4.860725803482208,115.06460554736003,35,4,83,25-40,Male,Delay in departure
2022-09-23,12:45,Kota Kinabalu,79,TRAIN92,3.3513976058626973,111.47726605727881,0,2,82,25-40,Male,Cleanliness was lacking
2023-11-29,10:52,Georgetown,58,BUS863,4.7660654421421125,105.61552923301957,21,4,81,18-24,Female,Route was confusing
2023-10-02,09:16,Langkawi,48,TRAIN03,6.197343586502691,115.36300084021404,-4,8,94,18-24,Male,Train was overcrowded
2023-06-29,06:21,Kuala Lumpur,46,BUS187,6.028447697440894,105.90753432446814,33,5,81,25-40,Female,Train was overcrowded
2023-06-28,03:16,Malacca,14,BUS286,2.5137409604762513,103.37472047323048,31,8,79,18-24,Female,Station was well-maintained
2023-12-16,00:01,Port Dickson,85,TRAIN01,1.2495820873291579,103.88228738791855,-4,9,78,40-60,Female,Service was excellent
2022-09-02,18:32,Langkawi,49,BUS209,2.437880552679455,103.76716943705526,27,2,97,25-40,Male,Poor signage at the station
2022-06-01,11:59,Penang,72,TRAIN36,5.917032478695571,115.17123330939471,33,2,59,25-40,Female,Seats were uncomfortable
2023-11-07,18:18,Georgetown,55,TRAIN87,4.953501058148529,110.56905948130441,27,2,75,18-24,Male,Seats were uncomfortable
2023-05-26,22:15,Johor Bahru,85,TRAIN20,1.7470013589425961,113.07129678337752,37,1,73,18-24,Male,Route was confusing
