Bedrooms,Square Footage,Age,Price
5,2787,19,765379.044360587
1,1304,29,323936.62985116587
4,2407,36,630311.989335436
4,2674,27,785096.2935516848
4,2348,40,657990.4721727937
2,2297,43,546142.4927256014
4,1771,47,534825.2317413585
3,2637,6,717844.7038698096
5,2630,29,785414.2954360202
1,1471,44,335622.6493713949
1,1285,20,256358.48651335068
5,1614,11,633164.2643551298
3,2659,11,697983.0517341825
2,2182,10,502704.9842198981
1,2227,28,504768.89099632006
2,1450,36,346818.99821771
2,2501,12,600975.2505169366
1,2340,33,596082.185187639
2,1647,39,455707.5631617822
5,1691,32,676656.4529416278
4,1244,23,445781.1949330239
1,1585,28,296697.4906749245
4,2495,22,696103.6344888983
1,2984,34,594650.6336424915
3,1401,45,376227.39415199205
4,2704,42,689657.7334151911
1,1243,44,160066.1980728876
2,1533,36,419482.5844818019
4,2630,42,674848.8927610994
4,2946,24,794900.2463990551
4,2167,41,619448.1143001306
1,1752,24,354294.42175799736
2,2809,9,627426.2302424939
2,1266,42,275604.7035064168
2,2681,46,649606.8297999598
1,1131,48,137336.5109463775
3,1999,16,459513.69180115947
5,2609,37,700292.3139693206
4,1797,2,708758.4332623394
4,2219,31,550773.4579621332
3,1455,38,406651.8145424954
5,1464,43,509397.0006835164
3,1226,1,424117.8212996399
1,2668,20,528359.1317977762
1,1445,7,382983.19411423826
5,2882,30,741966.0612419378
1,2124,4,437099.78085951426
5,1134,32,430869.5857724698
2,1032,30,340132.0320912665
5,2105,17,684090.0051055704
2,2655,4,712033.6450755922
3,1374,27,349395.6368604833
3,2781,7,787725.2250891348
1,1293,42,321468.28148375254
2,1631,38,350299.01610925666
2,2307,12,420112.78498171776
2,2075,18,514387.54064093553
2,2614,44,641656.6699968594
4,2979,4,941547.3696924592
4,2622,21,741127.4261274707
3,2631,28,677372.1792981058
4,1008,29,412625.3399505996
1,2336,15,536308.7669798242
4,1797,15,512496.2383804716
5,1668,17,501499.67216349964
2,2442,36,583913.1421554183
3,1186,39,267592.9307884439
5,2919,44,794721.7070534611
4,2918,28,707564.5852924767
5,2500,39,764754.1530957309
5,1111,24,495908.95185543393
5,2680,21,764609.9407644669
4,2992,24,749276.4195198265
5,2595,35,752678.244264754
5,1247,33,491479.50963133684
5,2004,2,647083.3741477093
1,2031,23,383018.8431354496
5,1908,22,587937.5214159205
4,2312,5,668218.4689968559
3,2748,46,585927.4752637233
1,1747,41,291072.99234555237
2,1075,40,248854.25275082333
2,2245,25,569649.7275724398
4,2064,23,558417.0523261589
1,2024,18,427389.1472604438
1,1212,27,271298.87876837136
2,2133,9,498918.76130361704
3,1604,6,483656.6001936733
5,2229,34,654022.2312401863
3,2189,23,556323.5158823746
1,1431,19,317584.0551034023
4,1573,11,497892.0734691549
3,1103,30,291436.06322118925
3,2970,12,713943.3180611844
1,1580,31,335927.82633766776
2,1494,8,445965.18669445126
1,1972,31,436289.8233616203
3,2721,43,545363.0698919427
3,1887,22,482134.1199967532
4,2156,8,645062.1936937637
3,1617,26,459574.1775521125
4,1548,45,516701.61633686477
3,1336,20,464773.2225460883
2,1466,26,455371.1188720737
3,1165,46,305881.25580202456
4,1734,43,476292.04197592183
4,1373,4,360829.5541010493
4,2518,21,665294.6003724356
3,2315,20,616374.3424165867
4,2968,38,681060.4109732286
5,2664,34,757814.2576771362
2,2585,45,628430.0078130137
3,2209,26,579260.092279778
4,1265,8,470239.69638454233
2,1050,38,269806.0389271971
3,1737,21,479345.27453698416
2,2200,35,415864.59340223623
5,1524,17,591369.1078345879
3,2734,46,633970.8703861894
4,2660,41,772829.9620118674
1,1499,40,255957.6116773995
4,2956,34,743956.035726541
3,2123,34,608677.7604873613
4,1358,2,410592.8347028395
1,2060,10,613787.0601267272
1,2310,24,562184.3190174126
1,2650,5,509259.464171023
4,2171,25,652652.879508585
3,2446,7,680781.2794803366
4,1428,34,518846.03389625426
1,1035,25,198549.83755206346
5,1782,11,585201.9248257778
1,1029,30,213206.73056634027
1,2971,48,589857.8468440246
3,1060,29,372729.8499188002
4,2016,25,571753.2912068743
3,2361,4,704468.352694838
4,1835,19,574722.9815492094
1,2821,22,657457.0028340702
1,1155,7,275353.14873489604
1,2155,21,457502.875152872
4,2057,22,603110.0238614808
1,2781,28,563231.9404951313
3,1435,27,356215.18362960394
3,2910,26,712303.7451054293
1,2435,1,553633.196310047
5,2252,47,648114.584816971
4,1056,4,308875.8804838633
5,1277,38,445232.10393457976
1,1679,8,296168.72587289347
5,2770,17,857513.2579643982
4,2354,12,714788.2286346888
4,1541,12,423211.9244891216
5,1241,45,381275.7006248954
2,1925,3,504724.0953802413
4,1957,6,581107.4164847384
1,2594,18,594082.2471021151
1,2816,15,554499.5921205544
1,1114,6,261166.74091394912
2,2296,15,478985.4976860201
1,1448,18,262229.4457721524
5,2892,42,806264.443078718
2,1635,47,463226.85017104977
4,1013,45,374042.4996125859
2,1769,31,479747.41257978167
1,2787,35,645319.8003621766
1,1258,4,313511.2334766651
5,2858,1,769695.20529712
4,1147,30,405179.163625245
4,1500,45,401075.0986699514
2,2786,45,628871.2856744673
1,2484,45,548816.6997221147
1,2694,1,600931.9303929214
2,2575,18,630842.4846832078
3,2493,30,530199.0695212577
1,2613,28,425620.58268156135
4,1945,35,510902.33498792566
2,2306,37,442757.59540671925
2,1371,22,347937.8695530037
5,2164,31,633905.2888134485
1,2265,38,457070.89343925717
1,1960,18,414150.89939240087
4,1257,39,405362.9463319335
3,2444,16,696065.0598909252
4,2802,2,734227.4808843961
3,2898,16,759684.9784057568
5,1288,42,521471.13494848396
4,2534,23,664151.4398958706
4,2308,46,645289.2710230369
1,1698,18,315143.95004466915
4,1706,45,569267.6171822548
1,1732,23,381702.16452275385
5,2089,14,674725.3886387215
3,2229,48,621755.903090686
4,1339,3,544006.4585960762
5,1559,12,577070.3770860534
1,1593,10,413974.9162698349
3,1420,41,496784.720177589
4,2223,48,626398.4631080463
4,2333,5,661449.8940694395
2,2734,11,619335.6719225361
4,1649,7,449840.10901462147
5,2551,45,802653.0145567087
4,1786,9,466146.140007655
4,2181,9,573985.6428231393
2,1693,9,464877.31236444804
2,1956,45,486108.59472551645
2,1554,38,378672.30342146836
4,1466,19,454088.70462133107
3,1642,3,461672.665497155
3,1797,6,524049.16163628816
5,1401,30,413764.62043375534
4,1035,38,261758.92037680146
2,1888,37,355118.1746178829
3,2299,43,599085.9366597465
4,2936,30,769153.4684934339
2,2559,28,557735.337638772
5,2676,18,713128.2810650034
3,1355,12,355783.4381633147
3,1877,9,498769.87776632054
1,2720,25,585983.6009173485
2,2730,4,636708.3463365046
1,1788,49,330196.5462642833
5,2155,12,726570.1815658233
1,1081,16,269896.8258177305
4,1940,4,633023.9646252021
3,1038,37,227549.5874430305
1,2066,40,319616.3263285251
1,1970,22,474503.03838970116
2,1549,30,409087.2976820198
2,1362,4,332870.36901155696
1,1552,12,234362.33178559324
4,2903,16,819561.5228291696
1,2819,46,656878.8550945402
4,2668,27,740238.516692155
1,2459,16,547859.4661042608
5,1406,34,525461.9587820661
5,1677,12,575967.9095024918
1,1803,6,389228.0742711136
2,1542,31,369634.4599087185
4,2799,5,775246.48605426
5,1984,33,608704.9865193412
4,2624,38,651558.1370959501
3,1239,44,384487.09218355996
2,2935,46,634414.6241089121
2,1394,30,438351.12727050483
3,2171,28,589266.3965072164
2,1845,40,474136.7852406425
5,2848,28,697826.1203707309
3,2938,30,771366.4170112085
5,2479,9,772172.1302470956
5,1060,12,416030.78182159737
3,1024,34,347531.036897466
4,1160,15,423521.2796284861
4,2388,39,620138.538277171
2,2319,12,641534.8633454842
3,1884,11,465808.710461076
5,2128,26,620959.1129313846
4,2406,33,667299.9342273697
4,1367,41,464421.63732877374
2,1116,7,273940.9202961134
2,1016,31,188494.59514515672
2,1948,23,471277.08133682725
2,1218,12,355428.94155343785
3,1208,36,297834.5392459121
1,1814,21,437199.01499288256
4,2248,5,604324.8611597207
2,1606,5,354078.91152125795
5,2876,30,730210.1739147889
4,2815,28,714420.368737757
2,2679,48,532967.8879325
2,1172,20,286248.46249236783
3,1595,41,470488.10688784363
1,2143,27,411327.9143622654
1,2591,27,580328.8178555716
3,2378,10,564047.4412556712
5,2435,32,651217.9622623107
1,1301,31,293348.05826045614
5,1994,18,659306.2462438911
4,2361,8,685503.2831329427
4,2751,36,662301.501743797
1,2435,10,578330.2380046275
1,2613,29,538359.9482346773
4,1432,48,416341.3681080567
4,1862,49,528231.7919286984
1,2413,8,527156.3335382439
4,1377,4,476850.70305347926
1,1231,8,238333.04987383998
3,1737,9,457727.0450253797
2,1881,38,436496.69199214404
1,1994,6,486126.2663137183
5,2820,34,797521.8621971167
1,2268,29,555517.2466653711
4,2089,47,438124.90135654167
5,1068,39,419061.1142538358
5,1725,9,581289.5956839866
2,1456,2,464048.30819860025
1,2788,3,643975.7846420072
3,1370,17,406760.7982293678
5,1929,3,540297.4099059483
5,2398,12,699464.0882457268
3,2507,32,607329.7044000493
5,2584,11,780069.1377872361
4,2123,21,570816.9352233222
3,2605,37,585205.5585100777
4,2985,15,721419.5612738167
1,2635,8,578064.6895055851
1,1071,30,252534.18968992386
1,1513,6,336859.7473407685
4,1129,15,477992.3321959529
5,1199,47,400370.7253180526
5,2689,16,751536.6437017604
3,2124,33,616286.363365567
3,1589,24,495730.7188827905
5,2644,28,767229.98873871
2,2202,7,617089.2800788659
4,2435,10,757562.7046835942
4,1096,2,403608.2554694213
4,2579,12,661183.7764313419
2,2811,24,649708.4417385424
3,1354,7,451389.89066420303
3,2325,41,612302.0684558799
4,1100,37,392522.86284230463
3,1336,13,421727.7499141546
4,1112,36,370846.1045066198
5,2258,6,750317.9975092836
5,1889,13,640000.6819395155
3,1939,19,513293.9880557974
2,2475,1,585022.9529247634
3,1520,2,532584.5922206733
1,1211,21,252897.68692525
4,1942,14,574006.1189779459
1,1576,27,329955.915488431
3,1372,49,297759.9645662396
5,2940,44,794740.7362913341
4,2120,22,550759.1222021704
3,2506,15,662088.7394580443
2,1875,14,393113.58563812054
3,1389,41,395104.25934510806
2,1341,4,412595.5042032006
5,1280,42,396954.39974132634
2,2026,18,531100.3547844179
1,1509,6,345289.63997215586
1,2021,27,329138.98261822236
1,2479,28,592893.9154253541
1,2132,44,543527.4231441929
1,1203,46,211881.67209413243
2,1243,42,284424.0332689718
1,2820,14,662072.2646239238
4,1374,46,400042.99462985515
2,1863,49,362420.9651486801
5,1065,18,463487.3528517353
2,1464,23,384708.34375046974
3,1370,32,382159.92547734396
5,1210,26,518977.5737379157
1,2422,29,489850.94132834184
1,2557,14,545675.7053295329
3,2135,8,574792.4802970081
1,2903,27,654001.3171189862
5,1197,18,469505.5863971376
5,1801,5,579374.3039303964
5,2642,44,701129.0848153222
2,2154,48,426949.69553835836
2,1539,31,372451.530985734
5,1744,29,493996.734211505
2,1375,9,396560.5640194297
2,2171,28,538373.992640701
4,2935,7,796390.0920897186
