Word Count,Has Attachment,Spam
100,0,1
784,1,0
672,1,0
197,0,0
1322,1,0
500,1,0
638,1,0
1207,1,0
941,1,0
1415,1,1
1686,1,0
85,0,0
259,0,1
1370,1,0
111,0,0
1255,0,1
574,0,1
556,0,0
160,0,0
605,1,0
1308,0,1
1642,1,0
1045,1,0
644,0,0
1163,0,1
766,1,0
1530,1,0
1786,1,0
1114,1,0
740,0,0
1894,1,0
1036,0,1
1906,1,0
670,0,1
1190,1,0
1782,1,0
470,0,0
1169,1,0
1127,1,0
636,0,0
1213,0,1
1128,1,0
764,0,0
735,1,0
693,1,0
1091,1,0
1586,1,1
832,1,0
1057,0,1
1088,1,0
1125,0,1
845,1,0
1025,1,0
722,1,0
736,1,0
882,0,0
1737,1,0
565,0,0
965,0,0
1682,1,0
1913,1,0
432,0,0
1459,1,0
714,0,0
595,1,0
200,0,0
1293,0,1
692,0,0
954,0,0
1146,0,1
894,1,1
896,1,0
1393,0,0
967,0,0
566,0,0
903,1,0
889,1,0
253,0,0
1095,1,0
1372,0,1
237,0,1
960,1,0
360,0,0
1607,1,0
1659,1,0
1704,1,0
1092,1,0
913,1,0
1524,1,0
1389,0,1
1073,1,1
823,1,0
989,0,0
683,0,0
616,1,0
1401,0,1
146,0,0
1842,1,1
1452,1,0
1454,0,0
1669,1,0
1192,0,1
1245,0,1
579,1,0
1089,0,1
1276,0,1
135,0,0
1412,1,0
728,1,0
1260,0,1
866,1,0
1293,0,0
861,0,0
1000,0,0
431,0,0
481,0,1
995,1,0
849,0,0
1023,1,0
1108,0,1
590,1,0
790,1,0
1066,1,0
1175,1,0
1595,1,0
1441,0,1
1124,1,0
921,1,0
1592,1,0
937,1,0
443,0,0
601,1,0
1287,1,0
1184,0,1
1066,0,1
1721,1,0
334,0,0
1138,0,1
1020,0,1
942,0,0
1681,1,0
1401,1,0
471,0,0
1017,0,1
1162,1,0
161,0,0
755,1,0
1031,1,0
1160,1,0
1374,1,1
1028,0,0
78,0,0
359,0,0
1738,1,0
1433,0,0
1241,1,0
1774,1,0
1181,1,0
221,0,0
1733,1,0
112,0,0
892,0,0
559,1,0
699,0,0
1041,1,0
725,1,0
893,0,0
914,0,0
716,1,0
81,0,0
1367,1,0
1095,0,1
1008,1,0
925,0,0
1724,1,0
1243,0,1
1611,1,0
1327,0,1
794,0,0
329,0,0
1229,1,0
1311,0,1
1658,1,0
865,0,0
963,1,0
656,0,0
860,0,0
562,0,0
952,0,0
783,0,0
874,1,0
337,0,0
847,0,0
1889,1,0
332,0,0
1336,0,0
283,0,0
782,1,1
1411,0,1
873,0,0
739,1,0
1373,0,1
1108,1,0
582,0,0
525,0,0
1929,1,0
1014,1,0
320,0,0
320,0,0
130,0,0
1818,1,0
1434,1,0
93,0,1
1229,0,1
1432,0,1
966,0,0
1069,0,1
538,1,0
1364,0,1
1864,1,0
883,0,0
1352,0,0
839,0,0
1445,1,0
1548,1,1
1910,1,0
842,0,0
392,0,0
984,1,0
581,1,1
1678,1,0
941,1,0
300,0,0
624,0,0
189,0,0
969,1,1
683,1,0
1040,0,1
611,1,0
377,0,0
715,0,0
597,1,0
872,0,0
903,1,0
1535,1,0
1493,1,0
1621,1,0
1451,0,1
540,0,1
1205,0,0
1101,1,0
993,1,1
1050,1,1
299,0,0
1540,1,0
1271,1,0
930,1,0
1937,1,0
1006,0,1
215,0,0
1901,1,0
1283,1,0
322,0,0
1241,0,1
251,0,1
1883,1,0
763,1,0
330,0,0
1882,1,0
1261,1,0
1447,1,0
1195,1,1
1125,1,0
1062,0,1
1261,0,1
508,0,0
1007,1,1
1313,0,1
1004,1,0
78,0,0
871,1,0
1994,1,0
516,0,0
1336,0,1
134,0,0
1407,1,0
1357,0,1
972,0,0
665,1,0
1915,1,0
1602,1,0
1469,1,0
57,0,0
1284,1,0
1410,0,1
701,0,0
436,0,0
1384,0,1
629,1,0
1808,1,0
948,1,0
1307,0,1
1404,1,1
670,0,0
1104,0,1
873,1,0
1349,1,0
939,1,0
1539,1,0
631,1,0
1630,1,1
304,0,0
1074,0,1
1808,1,0
1379,1,0
1333,1,0
1344,1,0
1791,1,0
1805,1,1
1883,1,0
1358,1,0
1249,1,0
1942,1,0
947,0,0
193,0,1
1051,0,0
776,0,0
1045,1,0
1557,1,0
1696,1,0
1249,0,0
828,1,0
705,1,1
1630,1,0
1095,1,0
1254,1,0
1940,1,0
1419,1,0
696,0,0
1448,0,0
1402,0,1
1466,0,1
1811,1,0
579,1,0
68,0,0
1283,1,0
247,0,0
1295,0,1
1185,1,0
1303,0,1
1348,1,1
207,0,0
521,1,0
707,0,0
492,0,1
445,0,0
1379,0,1
863,1,1
1519,1,0
966,1,0
181,0,0
1197,1,0
207,0,0
1411,1,0
117,0,0
253,0,0
1449,0,0
1153,0,1
1326,1,0
716,1,0
769,1,0
1299,0,0
1824,1,0
183,0,0
976,0,1
1615,1,0
544,1,0
1010,1,0
1245,0,1
610,1,0
1040,1,0
607,0,1
1445,1,0
300,0,0
1565,1,0
1998,1,1
1103,0,1
176,0,0
773,1,0
1544,1,0
147,0,0
1844,1,0
736,1,1
1162,1,0
579,1,0
574,1,0
1686,1,0
1197,0,1
1365,0,1
873,1,0
1014,0,1
926,1,0
739,0,0
934,0,0
1111,1,0
1261,1,1
1371,1,1
804,1,0
1907,1,0
140,0,0
1797,1,0
1271,1,0
971,1,1
853,0,0
251,0,0
